,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
920,C,71.0,192,O'Reilly Cal,32,Not Injured
921,C,73.0,216,O'Reilly Ryan,28,Not Injured
922,D,72.0,191,Oduya Johnny,37,Not Injured
923,D,72.0,182,Oesterle Jordan,27,Injured
924,RW,72.0,220,Okposo Kyle,31,Injured
925,D,79.0,255,Oleksiak Jamie,26,Injured
926,D,72.0,190,Oleksy Steve,33,Not Injured
927,RW,74.0,209,Olivier Mathieu,22,Not Injured
928,D,75.0,195,Olofsson Gustav,24,Not Injured
929,RW,71.0,176,Olofsson Victor,23,Not Injured
930,RW,71.0,168,Olson Kyle,20,Not Injured
931,C,71.0,185,Olund Linus,22,Not Injured
932,G,73.0,192,Opilka Luke,22,Not Injured
933,D,71.0,212,Orlov Dmitry,27,Not Injured
934,D,75.0,217,Orpik Brooks,38,Injured
935,RW,71.0,195,Oshie T.J.,32,Injured
936,D,73.0,185,Ouellet Xavier,25,Not Injured
937,G,74.0,194,Ouellette Martin,27,Not Injured
938,LW,75.0,235,Ovechkin Alex,33,Not Injured
939,C,72.0,190,Overhardt Alex,22,Not Injured
940,D,74.0,210,Ozhiganov Igor,26,Not Injured
941,LW,75.0,206,Paajarvi Magnus,28,Injured
942,LW,74.0,206,Pacioretty Max,30,Injured
943,C,70.0,184,Pageau Jean-Gabriel,26,Injured
944,LW,72.0,188,Palat Ondrej,28,Injured
945,RW,71.0,185,Palmieri Kyle,28,Injured
946,LW,67.0,179,Palmu Petrus,21,Not Injured
947,LW,71.0,168,Panarin Artemi,27,Injured
948,RW,73.0,208,Panik Richard,28,Not Injured
949,C,73.0,198,Paquette Cedric,25,Injured
950,D,78.0,230,Parayko Colton,26,Not Injured
951,LW,71.0,193,Parise Zach,34,Injured
952,G,73.0,185,Parsons Tyler,21,Not Injured
953,G,75.0,215,Pasquale Edward,28,Not Injured
954,RW,72.0,194,Pastrnak David,23,Injured
955,D,75.0,223,Pateryn Greg,29,Not Injured
956,C,74.0,198,Patrick Nolan,20,Injured
957,LW,76.0,230,Paul Nicholas,24,Not Injured
958,G,75.0,212,Pavelec Ondrej,31,Not Injured
959,C,71.0,190,Pavelski Joe,34,Injured
960,RW,71.0,195,Payne Robbie,26,Not Injured
961,LW,73.0,201,Pearson Tanner,26,Not Injured
962,C,69.0,182,Peca Matthew,26,Not Injured
963,D,75.0,205,Peeke Andrew,21,Not Injured
964,RW,72.0,170,Pekar Matej,19,Not Injured
965,D,75.0,218,Pelech Adam,24,Not Injured
966,RW,75.0,235,Peluso Anthony,30,Not Injured
967,LW,75.0,211,Perlini Brendan,23,Injured
968,LW,70.0,188,Perreault Mathieu,31,Not Injured
969,LW,72.0,200,Perron David,31,Injured
970,RW,72.0,166,Perron Francis,23,Not Injured
971,RW,75.0,206,Perry Corey,34,Injured
972,C,73.0,205,Persson Carl,24,Not Injured
973,D,75.0,206,Pesce Brett,24,Injured
974,LW,69.0,179,Petan Nic,24,Not Injured
975,G,73.0,182,Petersen Cal,24,Not Injured
976,D,76.0,216,Petrovic Alex,27,Injured
977,D,75.0,197,Petry Jeff,31,Not Injured
978,C,74.0,176,Pettersson Elias,20,Injured
979,C,74.0,185,Pettersson Emil,25,Not Injured
980,D,75.0,177,Pettersson Marcus,23,Not Injured
981,D,76.0,222,Phaneuf Dion,34,Injured
982,LW,71.0,185,Phelan James,22,Not Injured
983,C,67.0,161,Phillips Matthew,21,Not Injured
984,G,73.0,175,Phinney Colton,26,Not Injured
985,RW,72.0,190,Piccinich J.J.,23,Not Injured
986,G,73.0,207,Pickard Calvin,27,Not Injured
987,LW,71.0,200,Pietila Blake,26,Not Injured
988,D,75.0,210,Pietrangelo Alex,29,Injured
989,D,71.0,191,Pilut Lawrence,23,Injured
990,D,72.0,186,Pionk Neal,23,Injured
991,C,72.0,186,Pirri Brandon,28,Injured
992,C,69.0,194,Pitlick Rem,22,Not Injured
993,C,74.0,200,Pitlick Tyler,27,Injured
994,C,71.0,193,Plekanec Tomas,36,Injured
995,LW,70.0,187,Plouffe Derian,24,Not Injured
996,LW,74.0,185,Poehling Ryan,20,Not Injured
997,LW,73.0,198,Poganski Austin,23,Not Injured
998,C,70.0,166,Point Brayden,23,Injured
999,D,74.0,240,Polak Roman,33,Not Injured
1000,RW,72.0,180,Pominville Jason,36,Not Injured
1001,LW,74.0,197,Pooley Scott,25,Not Injured
1002,D,75.0,210,Poolman Tucker,26,Not Injured
1003,LW,72.0,190,Porter Kevin,33,Not Injured
1004,C,74.0,195,Pospisil Kristian,23,Not Injured
1005,D,75.0,195,Postma Paul,30,Not Injured
1006,LW,75.0,200,Pouliot Benoit,32,Not Injured
1007,D,72.0,196,Pouliot Derrick,25,Not Injured
1008,G,75.0,215,Price Carey,31,Injured
1009,LW,71.0,193,Prince Shane,26,Not Injured
1010,D,74.0,201,Prosser Nate,33,Not Injured
1011,D,75.0,215,Prout Dalton,29,Not Injured
1012,D,73.0,201,Provorov Ivan,22,Not Injured
1013,D,71.0,180,Prow Ethan,26,Not Injured
1014,RW,74.0,191,Pu Cliff,21,Not Injured
1015,LW,74.0,168,Pucek Roman,19,Not Injured
1016,LW,74.0,204,Puempel Matthew,26,Not Injured
1017,RW,76.0,201,Puljujarvi Jesse,21,Injured
1018,D,74.0,217,Pulock Ryan,24,Not Injured
1019,C,71.0,185,Pyatt Tom,32,Not Injured
1020,D,74.0,192,Pyrochta Filip,23,Not Injured
1021,D,73.0,200,Pysyk Mark,27,Injured
1022,C,73.0,195,Quenneville John,23,Injured
1023,G,73.0,216,Quick Jonathan,33,Injured
1024,C,72.0,203,Quine Alan,26,Not Injured
1025,G,72.0,195,Raanta Antti,30,Injured
1026,G,73.0,186,Raaymakers Joseph,21,Not Injured
1027,RW,74.0,198,Raddysh Taylor,21,Not Injured
1028,LW,76.0,200,Radil Lukas,28,Injured
1029,LW,73.0,205,Radulov Alexander,33,Injured
1030,D,73.0,191,Rafferty Brogan,24,Not Injured
1031,LW,72.0,200,Raffl Michael,30,Injured
1032,C,73.0,202,Rakell Rickard,26,Injured
1033,RW,73.0,198,Randell Tyler,28,Not Injured
1034,RW,76.0,215,Rantanen Mikko,22,Not Injured
1035,G,75.0,176,Rask Tuukka,32,Injured
1036,C,74.0,200,Rask Victor,26,Injured
1037,C,78.0,221,Rasmussen Michael,20,Injured
1038,RW,72.0,183,Rattie Ty,26,Injured
1039,C,68.0,178,Rau Kyle,26,Not Injured
1040,RW,70.0,185,Read Matt,33,Not Injured
1041,RW,73.0,225,Reaves Ryan,32,Not Injured
1042,G,73.0,200,Redmond Angus,23,Not Injured
1043,D,74.0,212,Redmond Zach,30,Not Injured
1044,D,74.0,201,Regula Alec,18,Not Injured
1045,D,74.0,193,Reilly Mike,25,Not Injured
1046,G,74.0,220,Reimer James,31,Injured
1047,D,76.0,212,Reinhart Griffin,25,Not Injured
1048,RW,73.0,192,Reinhart Sam,23,Not Injured
1049,D,71.0,181,Reinke Mitch,23,Not Injured
1050,RW,70.0,165,Rempal Sheldon,23,Not Injured
1051,D,74.0,205,Renouf Dan,25,Not Injured
1052,C,70.0,176,Richard Anthony,22,Not Injured
