,PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD,POS
834,Sedlak Lukas,CBJ,47,4,2,6,-5,9.0,620,13.2,70:29:00, C
835,Elliott Stefan,OTT,3,0,1,1,1,8.983333333333333,45,15.0,26:57:00, D
836,Brickley Connor,NYR,14,1,3,4,3,8.983333333333333,172,12.3,31:25:00, C
837,Malone Brad,EDM,16,0,0,0,0,8.95,218,13.6,0:00, C
838,Wagner Austin,LA,62,12,9,21,2,8.933333333333334,827,13.3,26:21:00, LW
839,Hendricks Matt,WPG/MIN,26,0,3,3,-2,8.833333333333334,327,12.6,76:37:00, C
840,Russell Patrick,EDM,6,0,0,0,0,8.783333333333333,76,12.7,0:00, RW
841,Gionta Stephen,NYI,5,0,0,0,-4,8.783333333333333,71,14.2,0:00, RW
842,Rempal Sheldon,LA,7,0,0,0,-1,8.733333333333333,85,12.1,0:00, RW
843,Currie Josh,EDM,21,2,3,5,2,8.716666666666667,259,12.3,36:34:00, RW
844,Gambrell Dylan,SJ,8,0,0,0,1,8.633333333333333,98,12.3,0:00, C
845,Conacher Cory,TB,1,0,0,0,0,8.583333333333334,13,13.0,0:00, LW
846,Paul Nick,OTT,20,1,1,2,-10,8.466666666666667,225,11.3,84:44:00, LW
847,Bean Jake,CAR,2,0,0,0,0,8.466666666666667,26,13.0,0:00, D
848,Smith Gemel,BOS/DAL,17,2,1,3,-4,8.366666666666667,220,12.9,47:25:00, C
849,Gauthier Frederik,TOR,70,3,11,14,3,8.366666666666667,867,12.4,41:49:00, C
850,Milano Sonny,CBJ,8,1,0,1,0,8.316666666666666,94,11.8,66:34:00, LW
851,Appleton Mason,WPG,36,3,7,10,9,8.2,427,11.9,29:32:00, C
852,Walker Nathan,WSH,3,0,1,1,1,8.15,32,10.7,24:26:00, LW
853,Gambardella Joe,EDM,15,0,3,3,2,8.1,169,11.3,40:31:00, C
854,Haley Micheal,SJ/FLA,43,2,4,6,-2,8.083333333333334,536,12.5,57:59:00, C
855,MacEachern Mackenzie,STL,29,3,2,5,0,8.033333333333333,336,11.6,46:35:00, LW
856,Nolan Jordan,STL,14,0,2,2,2,7.933333333333334,165,11.8,55:34:00, C
857,Martinsen Andreas,CHI,24,1,3,4,-5,7.933333333333334,293,12.2,47:36:00, C
858,Johnston Ross,NYI,17,1,3,4,3,7.916666666666667,189,11.1,33:38:00, LW
859,Varone Phil,PHI,47,3,4,7,-2,7.916666666666667,516,11.0,53:07:00, C
860,Megan Wade,DET,11,0,1,1,-4,7.883333333333333,123,11.2,86:39:00, C
861,Jerabek Jakub,STL,1,0,0,0,-3,7.866666666666667,15,15.0,0:00, D
862,Nilsson Jacob,CHI,2,0,0,0,-2,7.866666666666667,21,10.5,0:00, C
863,Stempniak Lee,BOS,2,0,0,0,-1,7.816666666666666,21,10.5,0:00, RW
864,Agozzino Andrew,COL,11,1,1,2,2,7.816666666666666,113,10.3,42:57:00, LW
865,Fogarty Steven,NYR,10,0,0,0,-1,7.766666666666667,112,11.2,0:00, C
