,Player,Team,Age,Height,Weight,GP,Injury Status,MP,Pos
185,Greg Monroe,PHI,29.0,6.92,265.0,43.0,Not Injured,20.4,C
186,Guerschon Yabusele,BOS,23.0,6.67,260.0,41.0,Injured,7.1,PF
187,Hamidou Diallo,OKC,20.0,6.42,198.0,51.0,Not Injured,,
188,Harrison Barnes,SAC,27.0,6.67,225.0,77.0,Not Injured,34.2,PF
189,Harry Giles III,SAC,21.0,6.83,240.0,58.0,Not Injured,,
190,Hassan Whiteside,MIA,30.0,7.0,265.0,72.0,Injured,25.3,C
191,Haywood Highsmith,PHI,22.0,6.58,220.0,5.0,Not Injured,,
192,Henry Ellenson,NYK,22.0,6.92,245.0,19.0,Not Injured,8.7,PF
193,Ian Clark,NOP,28.0,6.25,175.0,60.0,Injured,19.7,SG
194,Ian Mahinmi,WAS,32.0,6.92,262.0,34.0,Injured,14.9,C
195,Ike Anigbogu,IND,20.0,6.83,250.0,3.0,Injured,2.7,C
196,Iman Shumpert,HOU,29.0,6.42,215.0,62.0,Injured,19.7,SG
197,Isaac Bonga,LAL,19.0,6.67,180.0,22.0,Not Injured,,
198,Isaac Humphries,ATL,21.0,7.0,260.0,5.0,Not Injured,,
199,Isaiah Briscoe,ORL,23.0,6.25,215.0,39.0,Not Injured,,
200,Isaiah Canaan,MIL,28.0,6.0,200.0,30.0,Injured,21.1,PG-SG
201,Isaiah Hartenstein,HOU,21.0,7.0,249.0,28.0,Not Injured,,
202,Isaiah Hicks,NYK,24.0,6.75,230.0,3.0,Not Injured,13.3,PF
203,Isaiah Thomas,DEN,30.0,5.75,185.0,12.0,Injured,26.9,PG
204,Ish Smith,DET,30.0,6.0,175.0,56.0,Not Injured,24.9,PG
205,Ivan Rabb,MEM,22.0,6.83,220.0,49.0,Injured,14.3,PF
206,Ivica Zubac,LAC,22.0,7.08,240.0,59.0,Not Injured,9.5,C
207,J.J. Barea,DAL,35.0,6.0,185.0,38.0,Injured,23.2,PG
208,J.P. Macura,CHA,24.0,6.42,205.0,2.0,Not Injured,,
209,JJ Redick,PHI,35.0,6.33,200.0,76.0,Not Injured,,
210,JR Smith,CLE,33.0,6.5,225.0,11.0,Not Injured,,
211,JaKarr Sampson,CHI,26.0,6.75,215.0,4.0,Not Injured,15.6,SF
212,JaMychal Green,LAC,29.0,6.75,227.0,65.0,Injured,28.0,PF
213,JaVale McGee,LAL,31.0,7.0,270.0,75.0,Not Injured,9.5,C
214,Jabari Parker,WAS,24.0,6.67,245.0,64.0,Injured,24.0,PF
215,Jacob Evans,GSW,22.0,6.5,210.0,30.0,Not Injured,,
